Version ID,Version Name,File,LOC,LOCAdded,AVGLocAdded,MaxLocAdded,LocTouched,Churn,maxChurn,avgChurn,NumAuthors,NunRev,Bugginess
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,235,58,137,333,137,137,34,2,4,No
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,340,68,252,436,244,252,48,2,5,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,950,1246,83,545,1466,1026,545,68,3,15,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,121,30,81,150,92,81,23,3,4,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,195,39,168,210,180,168,36,2,5,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,633,63,487,795,471,487,47,3,10,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,210,35,124,216,204,124,34,3,6,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,516,621,77,536,691,551,536,68,3,8,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,132,168,28,133,187,149,133,24,3,6,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,164,41,151,171,157,151,39,3,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,147,73,147,147,147,147,73,1,2,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,269,44,126,401,137,126,22,3,6,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,280,56,249,289,271,249,54,3,5,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,495,1040,104,410,1532,548,410,54,3,10,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,694,931,155,714,1134,728,714,121,2,6,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,212,42,204,219,205,204,41,2,5,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,53,17,50,56,50,50,16,2,3,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,207,34,184,229,185,184,30,3,6,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,66,16,61,71,61,61,15,3,4,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,210,23,167,263,157,167,17,3,9,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,92,18,80,103,81,80,16,3,5,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,133,33,83,182,84,83,21,2,4,No
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,674,1462,112,547,2162,762,547,58,3,13,Yes
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,215,288,36,198,328,248,198,31,3,8,Yes
